Nilgiris,Lovedale,2025-05-26 08:38:00,15.05,90,0.57,light rain,2.82,3.41,1
Nilgiris,Wellington,2025-05-26 08:36:14,16.81,77,8.75,moderate rain,0.71,1.2,1
Nilgiris,Ketti,2025-05-26 08:31:05,27.84,74,2.57,scattered clouds,6.55,12.9,1
Nilgiris,Naduvattam,2025-05-26 08:31:26,16.4,95,4.38,overcast clouds,4.04,9.26,1
Nilgiris,Devala,2025-05-26 08:31:46,21.09,98,3.6,overcast clouds,4.25,10.56,1
Coimbatore,Coimbatore,2025-05-26 08:34:01,23.88,88,6.69,light intensity drizzle,3.38,6.35,1
Coimbatore,Pollachi,2025-05-26 08:31:59,26.09,86,9.62,light rain,3.5,6.25,1
Coimbatore,Mettupalayam,2025-05-26 08:30:25,28.27,75,3.9,overcast clouds,3.71,6.98,1
Coimbatore,Valparai,2025-05-26 08:32:21,21.27,92,3.39,overcast clouds,2.47,5.01,1
Nilgiris,Ooty,2025-05-26 09:13:34,14.48,90,3.9,overcast clouds,3.83,7.96,1
Nilgiris,Coonoor,2025-05-26 09:13:45,17.05,88,3.22,overcast clouds,3.84,8.12,1
Nilgiris,Kotagiri,2025-05-26 09:13:46,18.06,79,2.3,overcast clouds,3.62,6.65,1
Nilgiris,Gudalur,2025-05-26 09:13:47,23.48,93,5.83,overcast clouds,2.18,4.03,1
Nilgiris,Lovedale,2025-05-26 09:13:58,13.67,91,0.57,light rain,2.82,3.41,1
Nilgiris,Wellington,2025-05-26 09:14:09,16.81,77,7.72,moderate rain,0.71,1.2,1
Nilgiris,Naduvattam,2025-05-26 09:14:40,16.47,94,4.38,overcast clouds,4.04,9.26,1
Nilgiris,Devala,2025-05-26 09:14:42,21.19,97,3.6,overcast clouds,4.25,10.56,1
Coimbatore,Coimbatore,2025-05-26 09:14:47,23.88,94,5.14,mist,3.38,6.35,1
Coimbatore,Pollachi,2025-05-26 09:15:02,26.02,90,9.62,moderate rain,3.5,6.25,1
Coimbatore,Mettupalayam,2025-05-26 09:15:06,28.11,80,3.9,overcast clouds,3.71,6.98,1
Coimbatore,Valparai,2025-05-26 09:15:17,21.18,94,3.39,overcast clouds,2.47,5.01,1
Nilgiris,Ooty,2025-05-26 09:13:34,14.48,90,3.9,overcast clouds,3.83,7.96,1
Nilgiris,Coonoor,2025-05-26 09:13:45,17.05,88,3.22,overcast clouds,3.84,8.12,1
Nilgiris,Gudalur,2025-05-26 09:21:38,23.49,93,5.83,overcast clouds,2.18,4.03,1
Nilgiris,Lovedale,2025-05-26 09:13:58,13.67,91,0.57,light rain,2.82,3.41,1
Nilgiris,Wellington,2025-05-26 09:22:24,15.81,82,8.75,light rain,0.71,1.2,1
Nilgiris,Ketti,2025-05-26 09:22:37,28.84,74,2.06,scattered clouds,6.55,12.9,1
Nilgiris,Naduvattam,2025-05-26 09:14:40,16.47,94,4.38,overcast clouds,4.04,9.26,1
Nilgiris,Devala,2025-05-26 09:22:55,21.2,98,3.6,overcast clouds,4.25,10.56,1
Coimbatore,Coimbatore,2025-05-26 09:21:02,23.88,94,5.14,mist,3.38,6.35,1
Coimbatore,Valparai,2025-05-26 09:23:57,21.2,94,3.39,overcast clouds,2.47,5.01,1
